Group/Student,Sample ID,Plant name,Component,Retention Time (min),Time,Time Elapsed,Area,% Ethylene (C2H4) ,Fraction ethylene (vol/vol) ,Volume C2H4 removed (mL),Volume C2H4 remaining (mL),Headspace volume (mL),Mol C2H4 removed                 ,Mol C2H4 remaining          ,Total mol C2H4 produced,Total umol C2H4 produced
Liviu + Natalie,Green Beans 1,green beans,Ethylene,1.61,3:00:00 PM,0,1294.8848,9.95E-04,9.95E-06,3.98E-06,1.15E-04,12,1.78E-10,5.15E-09,5.33E-09,0.005327867
Liviu + Natalie,Green Beans 1,green beans,Ethylene,1.57,3:20:00 PM,20,3251.04,2.50E-03,2.50E-05,9.99E-06,2.90E-04,12,4.46E-10,1.29E-08,1.36E-08,0.013554159
Liviu + Natalie,Green Beans 1,green beans,Ethylene,1.586,3:58:00 PM,58,5796.323,4.45E-03,4.45E-05,1.78E-05,5.16E-04,12,7.95E-10,2.31E-08,2.45E-08,0.024472736
Liviu + Natalie,Green Beans 1,green beans,Ethylene,1.583,4:28:00 PM,88,10290.486,7.90E-03,7.90E-05,3.16E-05,9.17E-04,12,1.41E-09,4.09E-08,4.38E-08,0.043759166
Sarah,Green Beans 2,green beans,Ethylene,1.586,3:13:00 PM,0,551.9132,4.24E-04,4.24E-06,1.70E-06,4.92E-05,12,7.57E-11,2.20E-09,2.27E-09,0.002270874
Sarah,Green Beans 2,green beans,Ethylene,1.6,3:35:00 PM,22,1698.7684,1.30E-03,1.30E-05,5.22E-06,1.51E-04,12,2.33E-10,6.76E-09,7.07E-09,0.007065362
Sarah,Green Beans 2,green beans,Ethylene,1.59,4:10:00 PM,57,3284.0284,2.52E-03,2.52E-05,1.01E-05,2.93E-04,12,4.50E-10,1.31E-08,1.38E-08,0.013820981
Sarah,Green Beans 2,green beans,Ethylene,1.603,4:42:00 PM,89,4771.1892,3.66E-03,3.66E-05,1.47E-05,4.25E-04,12,6.54E-10,1.90E-08,2.04E-08,0.020390386
Anthony,Medicago polymorpha 1,Mpolymorpha,Ethylene,1.596,3:22:00 PM,0,2269.0118,1.74E-03,1.74E-05,6.97E-06,2.02E-04,12,3.11E-10,9.02E-09,9.34E-09,0.00933596
Anthony,Medicago polymorpha 1,Mpolymorpha,Ethylene,1.58,3:48:00 PM,26,5806.4668,4.46E-03,4.46E-05,1.78E-05,5.17E-04,12,7.96E-10,2.31E-08,2.42E-08,0.024202191
Anthony,Medicago polymorpha 1,Mpolymorpha,Ethylene,1.586,4:30:00 PM,68,10671.8216,8.20E-03,8.20E-05,3.28E-05,9.51E-04,12,1.46E-09,4.24E-08,4.50E-08,0.045017298
Anthony,Medicago polymorpha 1,Mpolymorpha,Ethylene,1.596,5:14:00 PM,112,12076.7072,9.28E-03,9.28E-05,3.71E-05,1.08E-03,12,1.66E-09,4.80E-08,5.23E-08,0.052261427
Benson,Medicago polymorpha 2,Mpolymorpha,Ethylene,1.6,3:23:00 PM,0,67.8246,5.21E-05,5.21E-07,2.08E-07,6.04E-06,12,9.30E-12,2.70E-10,2.79E-10,0.000279068
Benson,Medicago polymorpha 2,Mpolymorpha,Ethylene,1.606,3:53:00 PM,30,145.7304,1.12E-04,1.12E-06,4.48E-07,1.30E-05,12,2.00E-11,5.80E-10,6.09E-10,0.000608917
